"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,-0.625911,-1.09773,0.0298651,5.15E-06,-1.44E-06,-3.93E-07,-0.000421199,0.000118081,0.000104024,3.43E-05,9.49E-05,-0.000215654,0.03
0,-0.521517,-1.09467,0.0299288,6.64E-06,2.40E-06,-6.33E-08,-0.000384362,-0.000122336,0.000187985,-4.98E-05,0.000100407,6.73E-05,0.03
0,-0.456074,-1.09856,0.0298193,1.01E-05,6.61E-06,2.43E-08,-0.000558721,-0.000302918,0.000743653,-0.000134053,0.00017619,-0.000204178,0.03
0,-0.25222,-1.08105,0.0298735,3.83E-06,-1.97E-06,3.12E-06,-0.000399372,0.000145955,0.000487583,7.63E-06,2.48E-05,-1.78E-06,0.03
0,-0.159618,-1.10155,0.029847,3.25E-06,-2.38E-06,3.15E-06,-0.000362812,4.37E-05,0.00014424,5.21E-05,4.11E-05,4.37E-05,0.03
0,0.0500244,-1.0988,0.029877,5.89E-07,9.12E-06,-5.48E-07,-0.000199061,-9.13E-05,2.42E-05,-0.000278841,5.63E-05,-6.37E-05,0.03
0,0.254608,-1.08754,0.029845,-1.79E-06,-2.01E-07,1.60E-06,-5.27E-05,1.04E-05,0.000103408,8.39E-06,-4.19E-05,3.05E-06,0.03
0,0.31464,-1.09906,0.0298584,-2.73E-06,-4.85E-07,1.59E-06,-0.000100841,-1.89E-05,9.55E-05,1.52E-05,-5.51E-05,2.67E-05,0.03
0,0.429791,-1.07969,0.0298973,-1.13E-06,-2.18E-06,-1.72E-07,4.76E-05,7.68E-05,9.47E-06,4.02E-05,-1.88E-05,-1.65E-05,0.03
0,0.678357,-1.09909,0.0298883,-2.65E-06,4.84E-06,-1.10E-06,-6.84E-08,-0.00071913,0.000187688,-0.000185247,-7.68E-05,-0.000330977,0.03
0,0.74472,-1.0879,0.0299043,1.87E-07,-3.23E-07,-1.08E-06,-3.49E-05,-7.44E-05,7.45E-05,5.46E-06,-4.66E-06,-1.16E-05,0.03
0,0.82049,-1.09232,0.0299171,1.53E-07,-4.55E-07,-3.87E-07,-6.52E-06,-1.19E-05,-2.08E-06,7.81E-06,4.12E-08,3.10E-05,0.03
